run_id,factor_1_correlation,factor_1_defining_sorts,factor_2_correlation,factor_2_defining_sorts,factor_3_correlation,factor_3_defining_sorts,factor_4_correlation,factor_4_defining_sorts,factor_5_correlation,factor_5_defining_sorts
56077382,0.9266666667,23,0.5933333333,4,0.6133333333,7,0.7133333333,2,0.5466666667,2
3611749809,0.4666666667,6,0.7866666667,15,0.9066666667,15,0.0000000000,0,0.5133333333,5
3186623099,0.9266666667,18,0.7000000000,5,0.8600000000,6,0.2533333333,5,0.0000000000,0
776524599,0.6600000000,12,0.6733333333,13,0.8066666667,17,0.0000000000,0,0.0000000000,0
1921834916,0.9066666667,13,0.8866666667,9,0.4733333333,11,0.4933333333,6,0.0000000000,0
855626485,0.9333333333,18,0.7000000000,5,0.7200000000,4,0.7400000000,6,0.2266666667,6
1707342652,0.4466666667,2,0.7266666667,12,0.8666666667,7,0.7466666667,5,0.1200000000,2
1197945194,0.9533333333,12,0.8133333333,13,0.8533333333,4,0.5666666667,10,0.0000000000,0
2098864720,0.9066666667,23,0.0000000000,0,0.7333333333,14,0.0000000000,0,0.5466666667,3
323213888,0.9266666667,17,0.8133333333,8,0.7333333333,8,0.6733333333,6,0.0000000000,0
2983652889,0.8133333333,12,0.8666666667,8,0.7666666667,10,0.6200000000,9,0.0000000000,0
546699739,0.9133333333,22,0.8666666667,10,0.8333333333,10,0.0000000000,0,0.0000000000,0
3044059225,0.9266666667,23,0.6266666667,10,0.0000000000,0,0.8200000000,8,0.0000000000,0
3478011460,0.9266666667,20,0.7133333333,4,0.7600000000,6,0.7666666667,3,0.6800000000,8
2141944468,0.9000000000,16,0.8400000000,11,0.0000000000,0,0.9266666667,9,0.1133333333,6
2529825682,0.9533333333,26,0.0000000000,0,0.9266666667,7,0.6933333333,6,0.0000000000,0
1167587510,0.9400000000,19,0.5866666667,4,0.4933333333,4,0.4600000000,8,0.0000000000,1
3891993173,0.9266666667,14,0.7600000000,7,0.8000000000,9,0.7733333333,7,0.0000000000,0
1649225116,0.8466666667,12,0.5466666667,10,0.4933333333,7,0.6866666667,6,0.3933333333,2
2490417497,0.8933333333,14,0.8466666667,11,0.4466666667,6,0.7733333333,7,0.0000000000,0
1439838700,0.9133333333,19,0.7600000000,7,0.0000000000,0,0.7266666667,6,0.5266666667,7
2364226072,0.8066666667,8,0.6266666667,5,0.8600000000,9,0.7933333333,7,0.4400000000,12
1973334974,0.6333333333,8,0.6333333333,8,0.7800000000,14,0.5266666667,5,0.0000000000,0
1085105660,0.8866666667,13,0.5533333333,8,0.8200000000,8,0.8800000000,4,0.1200000000,4
2515852455,0.9200000000,12,0.7000000000,4,0.0000000000,0,0.8333333333,8,0.6066666667,6
2827908532,0.9266666667,18,0.4600000000,5,0.8400000000,4,0.0000000000,0,0.8000000000,4
3429697327,0.9133333333,14,0.8066666667,12,0.8466666667,7,0.8133333333,6,0.0000000000,0
4049454178,0.9466666667,15,0.7800000000,6,0.7733333333,2,0.3800000000,10,0.0000000000,0
1597273676,0.8533333333,18,0.8133333333,8,0.7333333333,15,0.0000000000,0,0.0000000000,0
4188663156,0.9000000000,20,0.8000000000,6,0.0000000000,0,0.7266666667,6,0.6133333333,6
3537360145,0.8000000000,13,0.8133333333,5,0.6866666667,9,0.5000000000,3,0.3266666667,6
3728417273,0.9000000000,16,0.8066666667,5,0.4933333333,7,0.4000000000,2,0.3000000000,5
3667748298,0.9200000000,10,0.4266666667,7,0.7400000000,12,0.0000000000,0,0.5066666667,7
1761664867,0.8133333333,13,0.4533333333,6,0.6666666667,13,0.0000000000,0,0.5733333333,5
334268050,0.8866666667,16,0.9200000000,9,0.8933333333,7,0.4866666667,6,0.0000000000,0
71520513,0.9000000000,12,0.4266666667,4,0.7866666667,9,0.7800000000,7,0.4866666667,7
2319047052,0.8600000000,14,0.5133333333,5,0.7466666667,12,0.7133333333,4,0.0000000000,0
2943615987,0.9400000000,24,0.6066666667,6,0.0000000000,0,0.0000000000,0,0.8333333333,6
1888204662,0.4800000000,5,0.6133333333,7,0.6200000000,16,0.0000000000,0,0.6600000000,10
597741901,0.8733333333,14,0.0000000000,0,0.8133333333,13,0.7733333333,5,0.3600000000,7
1258616485,0.8400000000,7,0.4400000000,6,0.7400000000,8,0.6200000000,6,0.6533333333,11
2133500078,0.7933333333,13,0.7333333333,8,0.7400000000,13,0.6933333333,8,0.0000000000,0
1441129790,0.9533333333,20,0.8533333333,10,0.2533333333,3,0.6400000000,8,0.0000000000,0
